1,2,10,20
1,1,1,1
NA,2,2,2
NA,2,2,2
1,1,1,1
NA,2,5,10
NA,NA,6,11
NA,NA,3,3
1,2,5,10
NA,NA,7,12
NA,NA,2,5
NA,2,7,12
NA,NA,7,11
NA,NA,NA,6
NA,NA,4,7
NA,NA,6,9
NA,NA,1,4
NA,NA,5,9
NA,NA,NA,8
1,1,5,9
NA,NA,NA,8
NA,NA,2,6
NA,NA,NA,8
NA,NA,NA,NA
NA,2,5,8
NA,NA,NA,NA
NA,NA,1,4
NA,NA,NA,3
1,1,3,4
NA,NA,4,5
NA,NA,4,4
NA,NA,NA,13
NA,NA,1,1
NA,NA,6,9
NA,NA,4,5
NA,NA,NA,11
NA,NA,NA,11
NA,1,2,2
NA,NA,NA,4
1,1,1,2
NA,NA,2,2
NA,NA,NA,6
NA,NA,7,11
NA,NA,4,5
NA,NA,4,5
1,1,1,1
NA,NA,1,1
NA,NA,2,4
NA,NA,1,1
NA,NA,1,1
NA,1,1,2
NA,NA,NA,NA
NA,NA,1,2
NA,NA,6,8
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,10
NA,NA,NA,9
NA,NA,7,9
NA,NA,NA,5
NA,NA,NA,NA
NA,NA,NA,3
NA,NA,4,6
NA,NA,NA,5
NA,NA,3,6
NA,NA,NA,3
NA,NA,5,7
NA,NA,5,7
NA,NA,NA,NA
NA,NA,NA,8
NA,NA,NA,3
NA,NA,NA,3
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,4
NA,NA,NA,NA
NA,NA,NA,10
NA,NA,NA,11
NA,NA,3,5
NA,NA,5,8
NA,NA,NA,1
NA,NA,NA,11
NA,NA,NA,NA
NA,NA,NA,4
1,1,4,5
NA,NA,4,5
NA,NA,NA,NA
NA,NA,NA,8
NA,NA,NA,NA
NA,NA,NA,9
NA,NA,2,3
NA,NA,NA,2
1,1,2,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,3,3
NA,NA,NA,2
NA,NA,7,12
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,3,5
NA,NA,NA,NA
NA,NA,2,4
NA,NA,6,9
NA,NA,6,11
NA,NA,7,12
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,12
NA,NA,1,1
NA,NA,2,3
NA,NA,NA,NA
NA,NA,2,3
NA,NA,NA,NA
NA,NA,4,8
1,1,4,7
NA,NA,NA,NA
NA,NA,NA,1
NA,NA,NA,7
NA,NA,NA,7
NA,NA,NA,8
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,1,1,1
1,1,1,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,1,1
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1,1,5,8
1,1,5,8
NA,NA,NA,5
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,4
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1,1,3,3
1,1,1,3
NA,NA,NA,4
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,NA
NA,NA,2,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,3
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,1,1
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,9
NA,NA,NA,NA
NA,NA,6,9
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,3
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,1,2
NA,NA,NA,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,10
NA,2,7,10
NA,NA,NA,10
NA,NA,3,4
NA,NA,3,4
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,4,6
NA,NA,4,7
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,7,9
NA,2,3,4
NA,NA,NA,4
NA,NA,NA,4
NA,NA,NA,5
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,1,1
NA,NA,4,6
1,1,3,6
1,1,3,6
NA,NA,2,6
1,1,3,6
NA,NA,4,6
NA,NA,4,6
1,1,2,4
NA,NA,2,6
NA,NA,2,6
NA,NA,3,7
NA,NA,NA,NA
NA,NA,1,3
NA,NA,NA,NA
NA,1,3,4
NA,NA,1,4
NA,NA,NA,5
NA,NA,5,9
NA,NA,NA,2
1,1,1,4
NA,NA,3,5
NA,NA,2,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,2,6,7
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,3
NA,NA,NA,9
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,1,4,4
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,3
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,11
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,6
NA,NA,NA,4
NA,NA,NA,NA
NA,NA,NA,6
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,2,3
NA,NA,NA,NA
NA,NA,NA,NA
